tableName;tableExtends;tableType;columnName;columnType;key;required;refSchema;refTable;refLink;refBack;refLabel;defaultValue;validation;visible;computed;semantics;profiles;label;description
subject;;;;;;;;;;;;;;;;;;Subject;ALL PATIENTS:  Contains all information that was filled in for patients within the CDE section of the registry and the link to the workstream-specific visits
visits_cleft;;;;;;;;;;;;;;;;;;Cleft workstream visits;Cleft WORKSTREAM:  Contains all information that was filled in for patients within the Cleft workstream
visits_synostosis;;;;;;;;;;;;;;;;;;Craniosynostosis workstream visits;CRANIOSYNOSTOSIS WORKSTREAM:  Contains all information that was filled in for patients within the CRANIOSYNOSTOSIS WORKSTREAM
chromosomalVariant;;;;;;;;;;;;;;;;;;Chromosomal anomaly;ALL PATIENTS: Contains all information that was filled in for chromosomal variants. ISCN
visits_cfm;;;;;;;;;;;;;;;;;;CFM workstream;CFM WORKSTREAM:  Contains all information that was filled in for patients within the CFM workstream
genomicVariant;;;;;;;;;;;;;;;;;;Gene anomaly;ALL PATIENTS: Contains all information that was filled in for genomic variants. HGVS
visits_hearingloss;;;;;;;;;;;;;;;;;;ENT Workstream;ENT WORKSTREAM:  Contains all information that was filled in for patients within the ENT workstream
Dashboard pages;;;;;;;;;;;;;;;;;;;The user interfaces in the vue application and the charts are displayed in each view
Charts;;;;;;;;;;;;;;;;http://edamontology.org/topic_0092;;;The definition of charts and the data points
Chart data;;;;;;;;;;;;;;;;http://semanticscience.org/resource/SIO_000546;;;Data that is prepared to be used in a chart
Chart data;;;data point id;;1;true;;;;;;;;;;http://semanticscience.org/resource/SIO_000465,http://semanticscience.org/resource/SIO_000115;;;A value that identifies this data point in a chart
Chart data;;;data point name;;;;;;;;;;;;;http://semanticscience.org/resource/SIO_000465,http://semanticscience.org/resource/SIO_000116;;;"A label to be displayed in the chart that visually identifies the data point. By default, all data points should have a name and value defined. If you would like to create a chart that displays number of participants by disease and research centre, then you would put the diseases in the ""name"" column and list the centres in the ""data point primary category"" column."
Chart data;;;data point value;decimal;;;;;;;;;;;;http://semanticscience.org/resource/SIO_000465;;;"The calculated value of the data point. This is value that is described by the entry in the ""name"" column and further grouped by the primary and secondary categories."
Chart data;;;data point value label;;;;;;;;;;;;;http://semanticscience.org/resource/SIO_000465,http://semanticscience.org/resource/SIO_000179;;;"An alternative label that will be displayed in the chart in place of the actual value. This is useful if you would like to format the values in the specific format (e.g., ""10.05% increase"" instead of ""10.05"")"
Chart data;;;data point series;;;;;;;;;;;;;http://semanticscience.org/resource/SIO_000465,http://semanticscience.org/resource/SIO_000464;;;A data series is a data set composed of related values displayed in a statistical graph. It is intended to use this column to link all points of a group to be displayed a line chart.
Chart data;;;data point primary category;;;;;;;;;;;;;http://semanticscience.org/resource/SIO_000465,http://semanticscience.org/resource/SIO_000455,http://semanticscience.org/resource/SIO_000456;;;A primary category axis is a category axis that either defines the sole value range or holds the larger set of categorical values specified by the secondary category axis. For example, if you need to group the categories listed in the name column, then define the grouping levels here.
Chart data;;;data point secondary category;;;;;;;;;;;;;http://semanticscience.org/resource/SIO_000465,http://semanticscience.org/resource/SIO_000455,http://semanticscience.org/resource/SIO_000457;;;A secondary category axis is a category axis that defines a finer granular part (or subset) of the value range of the primary category axis.
Chart data;;;data point primary category label;;;;;;;;;;;;;http://semanticscience.org/resource/SIO_000179;;;"An alternative label that will be displayed instead of the value in ""data point primary category"" column"
Chart data;;;data point secondary category label;;;;;;;;;;;;;http://semanticscience.org/resource/SIO_000179;;;"An alternative label that will be displayed instead of the value in ""data point secondary category"" column"
Chart data;;;data point time;;;;;;;;;;;;;http://semanticscience.org/resource/SIO_000465,http://semanticscience.org/resource/SIO_000417;;;"A time interval is a contiguous temporal region having some duration. E.g., ""2020,2021,2022,..."" or ""12, 13,14"" (years, months, etc.)"
Chart data;;;data point time unit;;;;;;;;;;;;;http://semanticscience.org/resource/SIO_000465,http://semanticscience.org/resource/SIO_000074;;;"A unit that provides context to the value in the column ""data point time"". E.g., ""months"", ""years"", etc."
Chart data;;;data point color;;;;;;;;;;;;;http://semanticscience.org/resource/SIO_000465,http://schema.org/color;;;A colour value (RGB, HEX, HSL, etc.) used to style the data point
Chart data;;;data point description;text;;;;;;;;;;;;http://semanticscience.org/resource/SIO_000465,http://semanticscience.org/resource/SIO_000136;;;A description is language entity in which elements of a language (formal or natural) are used to characterize an entity. This is useful if you are using tooltips in charts. Information placed in this column could be displayed in the charts.
Chart data;;;data point order;int;;;;;;;;;;;;http://semanticscience.org/resource/SIO_000465,http://semanticscience.org/resource/SIO_001316;;;A numerical value indicating the sorting method for data points
Chart data;;;included in chart;ref;;;;Charts;;;;;;;;http://semanticscience.org/resource/SIO_000465,http://edamontology.org/topic_0092;;;A value that links one or more data points to a visualisation
Charts;;;chart id;;1;true;;;;;;;;;;http://semanticscience.org/resource/SIO_000115;;;A unique value that identifies a visualisation, the associated settings and data points.
Charts;;;chart type;ontology;;;;Chart types;;;;;;;;http://semanticscience.org/resource/SIO_000904;;;The chart type (e.g., pie chart, table, bar, etc.)
Charts;;;chart title;;;;;;;;;;;;;http://semanticscience.org/resource/SIO_000473;;;A title to be displayed above a chart
Charts;;;chart subtitle;;;;;;;;;;;;;http://semanticscience.org/resource/SIO_000474;;;A subtitle to be displayed below the title. This text provides additional context for the data points displayed in the chart.
Charts;;;x axis label;;;;;;;;;;;;;http://semanticscience.org/resource/SIO_000452,http://semanticscience.org/resource/SIO_000179,http://semanticscience.org/resource/SIO_001316;;;Text to be displayed along the x-axis (horizontal axis)
